categoria,titulo,resumen,autor,enlace
Clima Y Medio Ambiente,"Iñaki Alonso, arquitecto: “Si las casas no se pueden vender, no hay especulación”",No disponible,Clemente Álvarez,https://elpais.com/clima-y-medio-ambiente/2025-02-10/inaki-alonso-arquitecto-estas-casas-no-se-pueden-vender-lo-que-evita-que-se-especule-con-ellas.html
Quadern,"Virginia Feito presenta ‘Victorian Psycho’ a BCNegra: “S’ha posat de moda infantilitzar l’assassí, jo prefereixo que faci fàstic”",No disponible,Noelia Ramírez,https://elpais.com/quadern/2025-02-10/virginia-feito-presenta-victorian-psycho-a-bcnegra-sha-posat-de-moda-infantilitzar-lassassi-jo-prefereixo-que-faci-fastic.html
Espana,Los Mossos investigan el robo de 13 tubos de endoscopia en el hospital de Sant Pau en Barcelona valorados en 100.000 euros,No disponible,Rebeca Carranco,https://elpais.com/espana/catalunya/2025-02-10/los-mossos-investigan-el-robo-de-13-tubos-de-endoscopia-en-el-hospital-de-sant-pau-en-barcelona-valorados-en-100000-euros.html
Espana,Tres años de estudio para proteger las praderas de posidonia,No disponible,Marta Rodríguez,https://elpais.com/espana/catalunya/2025-02-10/tres-anos-de-estudio-para-proteger-las-praderas-de-posidonia.html
Internacional,La mano dura de Starmer contra la migración divide a los laboristas: vídeos de redadas y deportaciones,Voces en la izquierda británica y en las ONG acusan al Gobierno de replicar desesperadamente las tácticas de los conservadores,Rafa de Miguel,https://elpais.com/internacional/2025-02-10/la-mano-dura-de-starmer-contra-la-inmigracion-irregular-divide-al-partido-laborista-videos-con-redadas-y-deportaciones.html
Economia,Paolo Gentiloni: “El riesgo de un nuevo poder feudal tecnológico es mayúsculo”,El excomisario europeo y ex primer ministro italiano advierte de que una guerra comercial con EE UU afectará a las “relaciones transatlánticas”,Lluís Pellicer,https://elpais.com/economia/2025-02-10/paolo-gentiloni-el-riesgo-de-un-nuevo-poder-feudal-tecnologico-es-mayusculo.html
Internacional,La sucesión de seísmos complica el regreso de residentes y turistas a Santorini,"Los científicos advierten de que la secuencia sísmica puede alargarse semanas o meses, pero no observan riesgo de erupción de los volcanes en la isla griega",Hibai Arbide Aza,https://elpais.com/internacional/2025-02-10/la-sucesion-de-seismos-complica-el-regreso-de-residentes-y-turistas-a-santorini.html
Sociedad,Los nuevos matrimonios caen en China a su nivel más bajo en cuatro décadas,No disponible,Inma Bonet Bailén,https://elpais.com/sociedad/2025-02-10/los-nuevos-matrimonios-caen-en-china-a-su-nivel-mas-bajo-en-cuatro-decadas.html
Internacional,Los soldados ucranios que combaten contra los norcoreanos: “Los utilizan como carne de cañón”,"Las tropas de Kim Jong-un que luchan junto a Rusia se retiraron del frente por las elevadas bajas, aunque Zelenski dice que han regresado al campo de batalla",Cristian Segura,https://elpais.com/internacional/2025-02-10/los-soldados-ucranios-que-combaten-contra-los-norcoreanos-disparan-bien-se-mueven-bien-pero-los-utilizan-como-carne-de-canon.html
Deportes,La seleccionadora Montse Tomé afirma que no supo “del alcance” del beso de Rubiales hasta días después,"La entrenadora, segunda de Vilda en el Mundial, dice que no presenció ninguna conversación en el seno de la federación para atajar el escándalo","J. J. Gálvez, Diego Fonseca Rodríguez",https://elpais.com/deportes/futbol/2025-02-10/la-declaracion-de-montse-tome-por-el-caso-rubiales.html?autoplay=1
Deportes,Los Eagles ganan la Super Bowl al aplastar a los Chiefs en la noche más negra de Mahomes,El equipo de Filadelfia se venga de su derrota de hace dos años en un partido marcado por los errores del ‘quarterback’ de Kansas City,Miguel Jiménez,https://elpais.com/deportes/2025-02-10/los-eagles-ganan-la-super-bowl-al-aplastar-a-los-chiefs-en-la-noche-mas-negra-de-mahomes.html?autoplay=1
Deportes,"La primera asamblea de Louzán: Tebas a su espalda, 372 millones de presupuesto y críticas al CSD",No disponible,Ladislao J. Moñino,https://elpais.com/deportes/futbol/2025-02-10/la-primera-asamblea-de-louzan-tebas-a-su-espalda-372-millones-de-presupuesto-y-criticas-al-csd.html
Deportes,Ronald Araújo sufre una contusión en el tobillo derecho,No disponible,Irene Guevara,https://elpais.com/deportes/futbol/2025-02-10/ronald-araujo-sufre-una-contusion-en-el-tobillo-derecho.html
Deportes,Entrevistar a Cristiano Ronaldo,"Hay dos maneras de grabarle: que CR nos quiera vender algo y reclame las preguntas por adelantado, o que el entrevistador le lleve la contraria cuando CR haga autocrítica",Manuel Jabois,https://elpais.com/deportes/2025-02-10/entrevistar-a-cristiano-ronaldo.html
Deportes,La Asociación Internacional de Boxeo interpone una denuncia contra el COI,No disponible,No disponible,https://elpais.com/deportes/2025-02-10/la-asociacion-internacional-de-boxeo-interpone-una-denuncia-contra-el-coi.html
Expres,¿Tienes seis minutos? Los seis temas que debes saber hoy para estar informado,"Las elecciones de Ecuador, la Super Bowl y el efecto del trabajo en la calidad del sueño, entre las propuestas",No disponible,https://elpais.com/expres/
Companias,El consejero delegado del Sabadell cobra un 84% más en plena opa del BBVA,González-Bueno se beneficia del alza en las acciones del banco y del cobro de un bonus a largo plazo por primera vez desde que llegó al banco,Álvaro Bayón,https://cincodias.elpais.com/companias/2025-02-10/el-sabadell-dispara-un-84-el-sueldo-de-gonzalez-bueno-en-plena-opa-del-bbva.html
Companias,Vodafone comercializará sus servicios en Phone House,No disponible,Ramón Muñoz,https://cincodias.elpais.com/companias/2025-02-10/vodafone-comercializara-sus-servicios-en-phone-house.html
